,Image Name,Compression Name,Quality Factor,Compression Rate (uncompressed image size / compressed file size),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
75,landscape_kitchen.jpg,baseline_jpeg_q4.yaml,4,0.24,905,window shade,0.34,0.0,0.998
76,subject_Brooklyn_bridge.webp,baseline_jpeg_q4.yaml,4,0.165,718,pier,0.88,0.21,0.759
77,subject_bunny.tif,baseline_jpeg_q4.yaml,4,0.009,330,wood rabbit,0.51,0.63,0.243
78,subject_cat.webp,baseline_jpeg_q4.yaml,4,0.218,281,tabby,0.75,0.3,0.6
79,subject_flowers.webp,baseline_jpeg_q4.yaml,4,0.193,883,vase,0.45,0.02,0.966
80,subject_jellyfish.png,baseline_jpeg_q4.yaml,4,0.025,107,jellyfish,1.0,1.0,0.002
81,subject_partial_dog.webp,baseline_jpeg_q4.yaml,4,0.461,253,basenji,0.17,0.0,0.993
82,subject_puppy.png,baseline_jpeg_q4.yaml,4,0.017,207,golden retriever,0.94,0.66,0.295
83,subject_radio.webp,baseline_jpeg_q4.yaml,4,0.031,754,radio,0.97,0.53,0.455
84,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q40.yaml,40,0.898,972,cliff,0.45,0.4,0.103
85,landscape_hill.png,baseline_jpeg_q40.yaml,40,0.044,984,rapeseed,0.25,0.24,0.026
86,landscape_iceberg.webp,baseline_jpeg_q40.yaml,40,0.811,296,ice bear,0.17,0.13,0.227
87,landscape_kitchen.jpg,baseline_jpeg_q40.yaml,40,0.749,905,window shade,0.34,0.21,0.392
88,subject_Brooklyn_bridge.webp,baseline_jpeg_q40.yaml,40,0.639,718,pier,0.88,0.86,0.021
89,subject_bunny.tif,baseline_jpeg_q40.yaml,40,0.038,330,wood rabbit,0.51,0.53,0.055
90,subject_cat.webp,baseline_jpeg_q40.yaml,40,0.679,281,tabby,0.75,0.78,0.046
91,subject_flowers.webp,baseline_jpeg_q40.yaml,40,0.561,883,vase,0.45,0.45,0.013
92,subject_jellyfish.png,baseline_jpeg_q40.yaml,40,0.045,107,jellyfish,1.0,1.0,0.0
93,subject_partial_dog.webp,baseline_jpeg_q40.yaml,40,1.166,253,basenji,0.17,0.14,0.219
94,subject_puppy.png,baseline_jpeg_q40.yaml,40,0.053,207,golden retriever,0.94,0.93,0.018
95,subject_radio.webp,baseline_jpeg_q40.yaml,40,0.106,754,radio,0.97,0.98,0.007
96,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q5.yaml,5,0.332,972,cliff,0.45,0.1,0.78
97,landscape_hill.png,baseline_jpeg_q5.yaml,5,0.012,984,rapeseed,0.25,0.09,0.654
98,landscape_iceberg.webp,baseline_jpeg_q5.yaml,5,0.226,296,ice bear,0.17,0.0,0.998
99,landscape_kitchen.jpg,baseline_jpeg_q5.yaml,5,0.259,905,window shade,0.34,0.0,0.999
100,subject_Brooklyn_bridge.webp,baseline_jpeg_q5.yaml,5,0.183,718,pier,0.88,0.34,0.616
101,subject_bunny.tif,baseline_jpeg_q5.yaml,5,0.01,330,wood rabbit,0.51,0.65,0.275
102,subject_cat.webp,baseline_jpeg_q5.yaml,5,0.235,281,tabby,0.75,0.3,0.596
103,subject_flowers.webp,baseline_jpeg_q5.yaml,5,0.195,883,vase,0.45,0.16,0.645
104,subject_jellyfish.png,baseline_jpeg_q5.yaml,5,0.025,107,jellyfish,1.0,1.0,0.0
105,subject_partial_dog.webp,baseline_jpeg_q5.yaml,5,0.485,253,basenji,0.17,0.01,0.925
106,subject_puppy.png,baseline_jpeg_q5.yaml,5,0.018,207,golden retriever,0.94,0.84,0.107
107,subject_radio.webp,baseline_jpeg_q5.yaml,5,0.034,754,radio,0.97,0.82,0.155
108,landscape_el_capitain_with_night_sky.webp,baseline_jpeg_q60.yaml,60,1.207,972,cliff,0.45,0.6,0.345
109,landscape_hill.png,baseline_jpeg_q60.yaml,60,0.06,984,rapeseed,0.25,0.25,0.025
110,landscape_iceberg.webp,baseline_jpeg_q60.yaml,60,1.053,296,ice bear,0.17,0.08,0.518
111,landscape_kitchen.jpg,baseline_jpeg_q60.yaml,60,1.03,905,window shade,0.34,0.5,0.463
112,subject_Brooklyn_bridge.webp,baseline_jpeg_q60.yaml,60,0.83,718,pier,0.88,0.85,0.037
113,subject_bunny.tif,baseline_jpeg_q60.yaml,60,0.049,330,wood rabbit,0.51,0.47,0.066
114,subject_cat.webp,baseline_jpeg_q60.yaml,60,0.892,281,tabby,0.75,0.78,0.048
115,subject_flowers.webp,baseline_jpeg_q60.yaml,60,0.723,883,vase,0.45,0.44,0.017
116,subject_jellyfish.png,baseline_jpeg_q60.yaml,60,0.055,107,jellyfish,1.0,1.0,0.0
117,subject_partial_dog.webp,baseline_jpeg_q60.yaml,60,1.491,253,basenji,0.17,0.2,0.155
118,subject_puppy.png,baseline_jpeg_q60.yaml,60,0.069,207,golden retriever,0.94,0.94,0.007
119,subject_radio.webp,baseline_jpeg_q60.yaml,60,0.135,754,radio,0.97,0.97,0.0
