,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),SSIM Score,PSNR,Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
428,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2032.288,39.349,40.635,0.023,5085,9582,20627,438,14,40082,12558,0.316,8.703,489,chainlink fence,0.93,0.96,0.03
429,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,1029.531,40.608,41.895,0.012,4045,10610,19717,225,11,28717,12226,0.638,12.179,643,mask,0.35,0.05,0.858
430,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2082.968,58.762,60.048,0.024,4020,10071,20641,447,17,41824,12510,0.632,13.889,796,ski mask,0.23,0.02,0.911
431,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2405.485,32.479,33.766,0.027,4683,9826,20796,520,16,39240,12238,0.643,15.144,585,hair spray,0.27,0.08,0.716
432,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,931.186,46.752,48.038,0.011,4099,10034,19805,206,765,26976,12168,0.722,14.394,819,stage,0.69,0.55,0.208
433,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2935.859,41.697,42.983,0.033,4222,10173,21309,746,17,46046,12175,0.65,16.215,650,microphone,0.22,0.42,0.952
434,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,4236.376,53.535,54.821,0.048,4200,10170,22681,888,25,58891,12039,0.433,13.817,860,tobacco shop,0.33,0.04,0.887
435,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2641.702,43.688,44.974,0.03,4561,9445,21234,556,16,42477,12388,0.549,15.592,526,desk,0.66,0.58,0.115
436,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,903.014,33.287,34.573,0.011,4078,10383,19334,197,10,26167,12205,0.736,12.483,784,screwdriver,0.37,0.27,0.256
437,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,2427.737,50.662,51.948,0.028,4275,10202,21472,538,18,40893,12301,0.463,10.873,819,stage,0.64,0.8,0.248
438,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,1842.555,38.108,39.395,0.021,4686,9805,20275,402,13,36941,12292,0.678,12.671,793,shower cap,0.37,0.44,0.181
439,20250222-elarbi-redbullBOS-4B5A4586.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,7233.4,49.333,50.619,0.082,4922,9531,24637,1541,34,84587,12369,0.345,18.662,450,bobsled,0.3,0.05,0.821
440,Artistic_portrait.avif,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,109.245,23.235,24.521,0.016,90,924,1914,26,5,2629,1164,0.986,43.777,107,jellyfish,0.42,0.38,0.1
441,Bright_red_portrait.avif,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,40.895,26.687,27.971,0.04,39,280,-2408,12,5,1358,296,0.942,36.673,684,ocarina,0.75,0.74,0.006
442,Brooklyn_bridge.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,212.358,38.589,39.874,0.08,101,431,898,47,9,2829,439,0.966,35.31,718,pier,0.88,0.88,0.002
443,Brush_ends.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,47.32,18.407,19.691,0.044,43,218,364,12,5,777,267,0.951,37.66,696,paintbrush,0.96,0.88,0.082
444,bunny.CR2,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,4637.531,44.039,45.325,0.053,4023,10102,22521,960,23,63542,12090,0.216,12.118,330,wood rabbit,0.5,0.32,0.371
445,Colorful_patern_portrait.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,154.534,31.127,32.413,0.031,119,680,1397,36,7,2791,891,0.936,34.511,836,sunglass,0.55,0.55,0.005
446,Colorful_portrait.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,44.325,14.592,15.877,0.037,49,251,403,12,3,696,221,0.92,36.424,552,feather boa,1.0,0.99,0.005
447,el_capitain_with_night_sky.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,127.0,12.954,14.24,0.025,105,617,1276,28,3,2089,745,0.965,40.056,972,cliff,0.45,0.37,0.179
448,green_wheat_field.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,81.769,22.439,23.724,0.056,50,251,454,19,5,1210,268,0.941,35.635,984,rapeseed,1.0,1.0,0.0
449,landscape.png,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,708.141,30.398,31.685,0.053,219,1477,4318,171,10,9553,2364,0.915,33.672,984,rapeseed,0.25,0.25,0.028
450,man_holding_camera.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,69.096,26.402,27.688,0.054,53,261,491,17,7,1019,244,0.944,35.298,763,revolver,0.06,0.04,0.245
451,Polar_bear_over_water.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,55.434,16.89,18.174,0.077,25,142,269,13,4,714,132,0.953,35.08,296,ice bear,0.17,0.15,0.126
452,Portrate_with_greenery_background.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,782.576,31.127,32.413,0.023,526,3977,8873,198,12,13839,4748,0.974,40.703,610,jersey,0.31,0.32,0.04
453,Threads_up_close.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,46.283,14.714,15.998,0.041,47,214,384,11,3,730,208,0.977,39.912,490,chain mail,0.28,0.44,0.554
454,wheat_field.webp,L3_quantization_high_quality.yaml,2,8,3.0,15,5,20,10,70.669,17.549,18.833,0.063,40,216,371,16,5,1063,228,0.96,34.238,998,ear,0.27,0.23,0.144
455,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,373.23,11.57,12.896,0.004,4291,10150,19543,103,6,19214,12246,0.827,15.354,981,ballplayer,0.16,0.02,0.896
456,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,591.017,13.917,15.243,0.007,3996,10019,19377,147,6,22686,12025,0.585,13.438,541,drum,0.59,0.24,0.598
457,20220930-elarbi-ner-4B5A2550.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,461.714,13.054,14.38,0.005,4141,9531,19956,107,5,20102,12492,0.682,14.832,573,go-kart,0.82,0.61,0.256
458,20230501-elarbi-neugradphotos-4B5A7958.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,676.373,15.044,16.37,0.008,4333,9898,25683,154,7,24962,13528,0.505,13.743,557,flagpole,0.88,0.96,0.096
459,20230501-elarbi-neugradphotos-4B5A7992.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,451.601,10.586,11.912,0.005,5216,10274,20601,106,6,22833,12978,0.589,9.551,999,toilet tissue,0.13,0.0,0.994
460,20230501-elarbi-neugradphotos-4B5A8009.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,1061.865,12.638,13.964,0.012,4488,12650,21448,275,8,28218,18070,0.287,14.286,683,oboe,0.18,0.23,0.264
461,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,209.507,4.584,5.91,0.002,4638,11275,22214,54,3,19442,13678,0.664,8.549,818,spotlight,0.15,0.34,1.331
462,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,627.225,11.12,12.446,0.007,5030,11579,21299,141,9,24023,12996,0.467,10.416,841,sweatshirt,0.17,0.12,0.258
463,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,759.57,11.648,12.975,0.009,5579,10072,21345,173,5,26923,13784,0.329,8.773,489,chainlink fence,0.93,0.95,0.02
464,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,417.066,13.098,14.424,0.005,4929,11093,21716,104,5,21203,14082,0.65,12.307,643,mask,0.35,0.04,0.893
465,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,794.215,19.674,21.0,0.009,4443,11950,21739,190,9,28512,13441,0.649,13.998,796,ski mask,0.23,0.03,0.872
466,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,372.732,10.027,11.354,0.004,4632,11736,21070,112,5,20690,14275,0.733,15.336,585,hair spray,0.27,0.06,0.791
467,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,403.714,13.871,15.197,0.005,4556,13039,20602,99,7,22744,13334,0.731,14.468,819,stage,0.69,0.49,0.29
468,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,508.797,12.183,13.509,0.006,5374,10471,21722,139,8,23999,13719,0.728,16.379,650,microphone,0.22,0.42,0.94
469,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,622.773,15.353,16.679,0.007,4871,11587,21350,179,9,24389,14094,0.537,14.045,860,tobacco shop,0.33,0.04,0.873
470,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,866.653,13.663,14.989,0.01,5369,10860,21227,203,7,29137,13555,0.555,15.859,526,desk,0.66,0.57,0.124
471,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,352.828,10.523,11.85,0.004,4722,11425,21393,86,5,21471,13146,0.751,12.597,784,screwdriver,0.37,0.27,0.271
472,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,693.351,16.45,17.776,0.008,5093,10202,20766,155,6,25522,14240,0.482,10.945,819,stage,0.64,0.74,0.159
473,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,575.225,12.063,13.39,0.007,4668,11652,25128,210,7,23767,14367,0.697,12.726,793,shower cap,0.37,0.31,0.162
474,20250222-elarbi-redbullBOS-4B5A4586.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,899.608,16.725,18.051,0.01,4933,10466,20194,202,9,28412,13650,0.549,19.06,450,bobsled,0.3,0.06,0.789
475,Artistic_portrait.avif,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,46.646,8.102,9.428,0.007,138,948,1939,12,3,1948,1209,0.917,36.96,107,jellyfish,0.42,0.38,0.078
476,Bright_red_portrait.avif,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,16.117,10.026,11.351,0.016,56,330,481,5,1,528,368,0.854,31.716,684,ocarina,0.75,0.64,0.147
477,Brooklyn_bridge.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,79.065,14.289,15.614,0.03,113,402,762,19,6,1368,456,0.875,28.632,718,pier,0.88,0.86,0.021
478,Brush_ends.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,15.897,6.361,7.686,0.016,49,253,340,5,2,459,214,0.865,32.049,696,paintbrush,0.96,0.77,0.199
479,bunny.CR2,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,1580.183,15.117,16.443,0.018,4178,10943,21015,340,8,34420,12833,0.219,12.105,330,wood rabbit,0.5,0.33,0.343
480,Colorful_patern_portrait.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,63.176,11.177,12.503,0.012,164,774,1360,16,3,2011,1519,0.851,29.837,836,sunglass,0.55,0.55,0.0
481,Colorful_portrait.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,12.21,6.075,7.4,0.012,55,250,365,5,2,422,236,0.791,31.262,552,feather boa,1.0,0.65,0.345
482,el_capitain_with_night_sky.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,36.326,4.438,5.764,0.007,127,641,1249,9,2,1362,873,0.876,33.688,972,cliff,0.45,0.31,0.309
483,green_wheat_field.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,26.18,10.052,11.376,0.02,56,279,419,8,4,607,292,0.832,29.981,984,rapeseed,1.0,1.0,0.001
484,landscape.png,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,227.273,13.688,15.015,0.017,245,1501,4211,49,4,5348,1928,0.817,28.574,984,rapeseed,0.25,0.24,0.029
485,man_holding_camera.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,26.1,9.597,10.922,0.021,56,260,423,6,2,612,253,0.856,29.95,763,revolver,0.06,0.05,0.213
486,Polar_bear_over_water.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,17.398,6.907,8.231,0.027,105,510,449,11,3,429,153,0.801,28.841,296,ice bear,0.17,0.07,0.583
487,Portrate_with_greenery_background.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,284.899,11.371,12.697,0.008,583,3879,8315,149,15,10796,6152,0.913,33.929,610,jersey,0.31,0.36,0.142
488,Threads_up_close.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,15.901,6.299,7.623,0.015,77,208,349,5,2,458,240,0.898,33.216,490,chain mail,0.28,0.27,0.056
489,wheat_field.webp,L3_quantization_moderate.yaml,2,8,3.0,50,20,60,30,23.031,6.549,7.873,0.022,53,298,321,6,2,495,193,0.87,28.753,998,ear,0.27,0.04,0.868
490,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,235.439,3.688,5.095,0.003,4606,10746,19557,56,3,18281,12677,0.806,15.6,981,ballplayer,0.16,0.01,0.948
491,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,302.467,4.426,5.832,0.003,4244,10983,20244,69,4,18413,13460,0.59,13.595,541,drum,0.59,0.15,0.756
492,20220930-elarbi-ner-4B5A2550.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,258.021,4.02,5.426,0.003,4359,11762,19792,67,3,18583,12382,0.697,15.157,573,go-kart,0.82,0.86,0.038
493,20230501-elarbi-neugradphotos-4B5A7958.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,294.103,4.602,6.008,0.003,4124,10710,20663,68,5,19309,13455,0.524,13.847,557,flagpole,0.88,0.97,0.102
494,20230501-elarbi-neugradphotos-4B5A7992.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,247.659,3.044,4.45,0.003,5113,10693,19539,58,2,18086,12826,0.593,9.69,999,toilet tissue,0.13,0.0,0.997
495,20230501-elarbi-neugradphotos-4B5A8009.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,389.732,3.812,5.218,0.004,4156,11227,19447,93,3,20408,12543,0.285,14.547,683,oboe,0.18,0.07,0.646
496,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,185.604,1.219,2.625,0.002,4631,10726,20302,68,2,16924,13083,0.675,8.659,818,spotlight,0.15,0.01,0.935
497,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,285.54,3.194,4.601,0.003,4573,11228,19233,69,4,19532,12990,0.47,10.488,841,sweatshirt,0.17,0.24,0.419
498,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,373.995,3.732,5.139,0.004,4533,10816,20027,87,4,20048,12432,0.333,8.915,489,chainlink fence,0.93,0.98,0.044
499,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,248.156,4.176,5.582,0.003,4241,9726,20693,60,4,18262,12945,0.66,12.552,643,mask,0.35,0.14,0.596
500,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,376.534,6.629,8.035,0.004,4102,11949,19339,86,4,20817,12432,0.646,14.19,796,ski mask,0.23,0.11,0.531
501,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,228.687,3.343,4.749,0.003,4247,10785,19350,55,3,17313,13262,0.717,15.677,585,hair spray,0.27,0.06,0.784
502,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,250.457,4.176,5.582,0.003,4101,11383,19659,61,3,18512,12327,0.734,14.607,819,stage,0.69,0.2,0.718
503,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,268.052,3.731,5.138,0.003,4820,9699,19961,60,6,17634,13236,0.685,16.612,650,microphone,0.22,0.31,0.443
504,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,271.651,4.33,5.736,0.003,4424,10957,19012,62,5,18868,12904,0.557,14.473,860,tobacco shop,0.33,0.06,0.802
505,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,308.818,4.429,5.835,0.004,4321,10449,19680,70,3,18803,12290,0.558,16.361,526,desk,0.66,0.75,0.144
506,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,222.527,3.152,4.559,0.003,4830,10051,20004,58,4,17914,13794,0.748,12.856,784,screwdriver,0.37,0.3,0.167
507,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,314.101,4.961,6.367,0.004,4255,11817,19608,72,4,19634,12242,0.492,11.095,819,stage,0.64,0.71,0.121
508,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,277.852,3.559,4.965,0.003,4508,10676,20575,67,4,18119,12907,0.694,12.841,793,shower cap,0.37,0.27,0.274
509,20250222-elarbi-redbullBOS-4B5A4586.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,292.03,4.354,5.761,0.003,4490,10702,19604,94,5,18556,12358,0.589,18.969,450,bobsled,0.3,0.02,0.926
510,Artistic_portrait.avif,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,24.709,2.815,4.222,0.003,116,944,2762,6,1,1618,1190,0.627,29.526,107,jellyfish,0.42,0.17,0.601
511,Bright_red_portrait.avif,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,7.464,3.694,5.099,0.007,38,279,399,3,3,403,236,0.716,26.009,684,ocarina,0.75,0.37,0.505
512,Brooklyn_bridge.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,26.15,5.421,6.826,0.01,97,408,683,7,2,857,460,0.72,23.705,718,pier,0.88,0.72,0.183
513,Brush_ends.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,5.407,1.967,3.371,0.006,46,261,332,3,1,304,216,0.691,26.277,696,paintbrush,0.96,0.58,0.39
514,bunny.CR2,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,607.852,5.043,6.449,0.007,4915,10004,19465,133,5,22826,12720,0.213,11.941,330,wood rabbit,0.5,0.21,0.583
515,Colorful_patern_portrait.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,28.114,3.922,5.328,0.006,146,666,2141,15,3,1558,910,0.715,24.55,836,sunglass,0.55,0.55,0.014
516,Colorful_portrait.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,5.492,1.244,2.649,0.005,57,252,350,2,1,316,224,0.657,26.822,552,feather boa,1.0,0.0,0.998
517,el_capitain_with_night_sky.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,14.967,1.174,2.58,0.003,127,646,1214,4,0,1029,818,0.768,28.351,972,cliff,0.45,0.1,0.778
518,green_wheat_field.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,7.648,3.63,5.034,0.007,54,319,618,4,2,407,266,0.678,25.317,984,rapeseed,1.0,0.87,0.129
519,landscape.png,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,52.779,4.461,5.867,0.004,238,2366,2948,15,2,3023,1897,0.664,24.04,984,rapeseed,0.25,0.07,0.696
520,man_holding_camera.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,10.708,3.457,4.862,0.009,56,265,396,4,1,407,246,0.719,25.024,763,revolver,0.06,0.01,0.872
521,Polar_bear_over_water.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,5.136,2.197,3.602,0.009,34,187,211,3,1,235,265,0.568,24.124,296,ice bear,0.17,0.0,0.986
522,Portrate_with_greenery_background.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,123.955,4.225,5.631,0.004,607,3947,8015,39,1,8455,4988,0.807,26.87,610,jersey,0.31,0.38,0.211
523,Threads_up_close.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,4.979,2.462,3.866,0.006,37,242,323,2,1,300,206,0.722,28.402,490,chain mail,0.28,0.01,0.978
524,wheat_field.webp,L3_quantization_most_agressive.yaml,2,8,3.0,150,60,200,80,7.13,2.143,3.547,0.008,48,226,315,3,0,321,204,0.704,24.164,998,ear,0.27,0.0,0.982
525,20220422-20220424-elarbi-coachella-4B5A8619.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,379.965,11.851,13.177,0.004,4072,11646,19299,87,6,19967,12227,0.827,15.353,981,ballplayer,0.16,0.02,0.896
526,20220422-20220424-elarbi-coachella-4B5A8887.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,612.372,14.591,15.917,0.007,4090,11484,19458,141,7,24788,13068,0.585,13.436,541,drum,0.59,0.23,0.607
527,20220930-elarbi-ner-4B5A2550.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,478.325,13.573,14.899,0.006,4222,11214,19940,107,6,21849,12612,0.681,14.83,573,go-kart,0.82,0.62,0.253
528,20230501-elarbi-neugradphotos-4B5A7958.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,715.109,16.323,17.649,0.008,4092,10906,19843,156,8,24606,12713,0.504,13.74,557,flagpole,0.88,0.96,0.097
529,20230501-elarbi-neugradphotos-4B5A7992.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,467.486,11.08,12.406,0.005,4563,11038,19340,106,5,21805,12319,0.589,9.551,999,toilet tissue,0.13,0.0,0.994
530,20230501-elarbi-neugradphotos-4B5A8009.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,1124.998,13.276,14.603,0.013,4234,10651,20668,242,8,27912,12188,0.286,14.281,683,oboe,0.18,0.23,0.249
531,20240420-elarbi-hauntedmoundCHI-4B5A1283.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,209.94,4.707,6.033,0.002,4433,10477,20157,49,3,16960,13418,0.664,8.549,818,spotlight,0.15,0.35,1.364
532,20240420-elarbi-hauntedmoundCHI-4B5A2628.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,660.954,11.954,13.28,0.008,4771,10369,19696,187,7,24071,12744,0.466,10.415,841,sweatshirt,0.17,0.13,0.247
533,20240420-elarbi-hauntedmoundCHI-4B5A2629.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,790.681,12.397,13.724,0.009,4658,10238,19844,174,6,25900,12282,0.328,8.772,489,chainlink fence,0.93,0.95,0.02
534,20241014-elarbi-yunggravyBOS-4B5A0014.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,427.761,13.553,14.879,0.005,4114,10390,20006,98,5,21610,12587,0.65,12.306,643,mask,0.35,0.04,0.894
535,20241014-elarbi-yunggravyBOS-4B5A0116.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,835.325,20.53,21.856,0.01,4416,10323,20515,182,9,26647,13429,0.649,13.994,796,ski mask,0.23,0.03,0.875
536,20241014-elarbi-yunggravyBOS-4B5A9992.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,381.77,10.556,11.882,0.004,4494,11750,19425,90,6,20061,12746,0.732,15.335,585,hair spray,0.27,0.06,0.792
537,20241017-elarbi-bladeeNYC-4B5A2464.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,415.645,15.121,16.447,0.005,4136,11005,19900,93,7,20777,12153,0.731,14.466,819,stage,0.69,0.49,0.289
538,20241017-elarbi-bladeeNYC-4B5A2603.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,537.824,13.197,14.523,0.006,4263,10749,19325,115,7,22401,12906,0.726,16.376,650,microphone,0.22,0.41,0.912
539,20241111-elarbi-thehellpNYC-4B5A4361.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,670.758,16.178,17.504,0.008,4934,10255,20483,152,7,24053,13740,0.535,14.041,860,tobacco shop,0.33,0.04,0.875
540,20241113-elarbi-thehellpBOS-4B5A4416.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,925.988,14.321,15.647,0.011,4181,11289,20188,200,8,26928,12600,0.555,15.854,526,desk,0.66,0.57,0.129
541,20241113-elarbi-thehellpBOS-4B5A4417.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,361.544,11.081,12.407,0.004,4209,10841,19513,86,5,20149,12193,0.751,12.596,784,screwdriver,0.37,0.26,0.289
542,20241113-elarbi-thehellpBOS-4B5A4438.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,736.028,17.452,18.778,0.008,4171,10576,20325,162,6,23861,13106,0.481,10.943,819,stage,0.64,0.73,0.15
543,20241113-elarbi-thehellpBOS-4B5A4452.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,601.829,12.517,13.843,0.007,4616,10942,19802,154,9,22901,12752,0.695,12.724,793,shower cap,0.37,0.3,0.19
544,20250222-elarbi-redbullBOS-4B5A4586.CR2,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,1056.262,17.89,19.216,0.012,4250,10997,20035,237,8,30247,12624,0.533,19.037,450,bobsled,0.3,0.06,0.787
545,Artistic_portrait.avif,L3_quantization_quality.yaml,2,8,3.0,40,20,50,30,48.579,8.687,10.013,0.007,137,926,1832,12,3,1989,1158,0.919,37.171,107,jellyfish,0.42,0.41,0.025
