,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
40,subject_racecar.tif,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,171.646,14.142,15.472,0.008,22,2315,4679,38,4,5491,2905,573,go-kart,0.83,0.79,0.053
41,subject_radio.webp,L1-5_quantization_moderate.yaml,2,8,1.5,50,20,60,30,158.431,17.747,19.077,0.044,113,447,952,33,5,2257,543,754,radio,0.97,0.92,0.055
42,landscape_crowd.tif,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,79.352,4.424,5.844,0.004,20,2313,4657,18,2,4395,2912,981,ballplayer,0.16,0.03,0.787
43,landscape_el_capitain_with_night_sky.webp,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,14.934,1.141,2.561,0.003,125,638,1159,5,0,977,746,972,cliff,0.45,0.1,0.779
44,landscape_hill.png,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,50.481,4.018,5.438,0.004,216,1502,2918,12,2,2697,1850,984,rapeseed,0.25,0.08,0.694
45,landscape_iceberg.webp,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,5.1,2.177,3.595,0.009,41,154,210,2,1,200,130,296,ice bear,0.17,0.0,0.987
46,subject_Brooklyn_bridge.webp,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,25.006,5.179,6.598,0.01,88,368,680,6,2,785,421,718,pier,0.88,0.72,0.184
47,subject_bunny.tif,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,155.838,4.603,6.022,0.007,22,2318,4696,33,2,5099,2997,330,wood rabbit,0.51,0.6,0.192
48,subject_cat.webp,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,5.119,2.944,4.362,0.009,29,179,238,2,1,230,148,281,tabby,0.75,0.42,0.438
49,subject_flowers.webp,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,14.53,3.081,4.5,0.005,75,414,764,4,1,777,517,883,vase,0.45,0.38,0.154
50,subject_greenroom.tif,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,102.679,5.29,6.71,0.005,23,2428,4691,23,2,4485,3010,526,desk,0.67,0.81,0.201
51,subject_jellyfish.png,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,11.979,3.455,4.875,0.004,77,541,1082,5,3,864,567,107,jellyfish,1.0,1.0,0.0
52,subject_partial_dog.webp,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,4.106,1.565,2.983,0.007,24,195,228,2,1,209,144,253,basenji,0.17,0.01,0.948
53,subject_puppy.png,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,18.519,4.766,6.186,0.005,85,558,1074,6,1,976,716,207,golden retriever,0.94,0.95,0.008
54,subject_racecar.tif,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,85.269,4.971,6.391,0.004,27,2413,4594,19,2,4299,2911,573,go-kart,0.83,0.87,0.044
55,subject_radio.webp,L1-5_quantization_most_agressive.yaml,2,8,1.5,150,60,200,80,57.774,7.681,9.101,0.016,113,451,883,13,3,1293,539,754,radio,0.97,0.8,0.181
56,landscape_crowd.tif,L1-5_quantization_quality.yaml,2,8,1.5,40,20,50,30,158.646,13.219,14.549,0.008,22,2360,4637,35,3,5165,3007,981,ballplayer,0.16,0.1,0.4
