,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Luma Quantization Max,Luma Quantization Stdv,Chroma Quantization Max,Chroma Quantization Stdv,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
54,subject_racecar.tif,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,70.015,3.377,4.86,0.003,22,2386,4731,17,2,4799,2950,573,go-kart,0.83,0.8,0.036
55,subject_radio.webp,gauss_quantization_most_agressive.yaml,2,8,150,10,200,10,39.946,6.161,7.645,0.012,111,503,906,10,2,1146,579,754,radio,0.97,0.72,0.257
56,landscape_crowd.tif,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,1760.039,134.176,135.406,0.086,21,2411,6550,385,28,23045,2940,981,ballplayer,0.16,0.14,0.126
57,landscape_el_capitain_with_night_sky.webp,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,554.889,53.889,55.119,0.108,111,656,1520,115,11,6012,752,972,cliff,0.45,0.45,0.006
58,landscape_hill.png,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,2932.185,102.362,103.593,0.218,225,1556,5443,619,29,31645,1900,984,rapeseed,0.25,0.22,0.094
59,landscape_iceberg.webp,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,177.691,63.242,64.471,0.253,29,160,327,40,12,1862,130,296,ice bear,0.17,0.18,0.048
60,subject_Brooklyn_bridge.webp,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,595.38,121.039,122.269,0.227,90,382,998,126,24,6267,418,718,pier,0.88,0.88,0.002
61,subject_bunny.tif,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,5112.084,108.658,109.889,0.237,21,2441,7623,1146,38,54356,2956,330,wood rabbit,0.51,0.53,0.055
62,subject_cat.webp,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,144.378,62.375,63.604,0.189,31,166,339,34,12,2134,150,281,tabby,0.75,0.75,0.003
63,subject_flowers.webp,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,349.582,103.056,104.285,0.127,76,424,959,76,18,4254,520,883,vase,0.45,0.45,0.003
64,subject_greenroom.tif,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,3832.052,150.765,151.995,0.181,25,2550,7571,838,37,41626,2938,526,desk,0.67,0.66,0.024
65,subject_jellyfish.png,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,341.176,80.644,81.874,0.099,75,505,1205,74,14,4417,583,107,jellyfish,1.0,1.0,0.0
66,subject_partial_dog.webp,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,106.82,53.283,54.512,0.15,26,175,319,25,9,1433,159,253,basenji,0.17,0.2,0.16
67,subject_puppy.png,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,664.348,116.496,117.727,0.155,116,1380,1634,145,23,7089,678,207,golden retriever,0.94,0.95,0.004
68,subject_racecar.tif,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,2663.535,155.584,156.814,0.128,22,2425,6772,576,37,33623,3102,573,go-kart,0.83,0.76,0.081
69,subject_radio.webp,gauss_quantization_no_quant.yaml,2,8,1,1,1,1,1078.037,117.27,118.5,0.294,112,456,1965,226,25,12093,593,754,radio,0.97,0.97,0.0
70,landscape_crowd.tif,gauss_quantization_quality.yaml,2,8,30,5,40,5,356.677,41.045,42.385,0.018,21,3380,4961,76,8,8729,3054,981,ballplayer,0.16,0.13,0.202
71,landscape_el_capitain_with_night_sky.webp,gauss_quantization_quality.yaml,2,8,30,5,40,5,110.451,13.722,15.062,0.022,112,622,1274,24,3,2097,740,972,cliff,0.45,0.37,0.182
72,landscape_hill.png,gauss_quantization_quality.yaml,2,8,30,5,40,5,547.938,33.724,35.063,0.042,232,1480,4167,112,8,7946,1926,984,rapeseed,0.25,0.25,0.017
73,landscape_iceberg.webp,gauss_quantization_quality.yaml,2,8,30,5,40,5,44.172,19.104,20.442,0.067,28,161,254,11,4,606,133,296,ice bear,0.17,0.13,0.233
74,subject_Brooklyn_bridge.webp,gauss_quantization_quality.yaml,2,8,30,5,40,5,168.977,40.227,41.565,0.067,95,369,1270,41,10,2659,453,718,pier,0.88,0.87,0.008
75,subject_bunny.tif,gauss_quantization_quality.yaml,2,8,30,5,40,5,1183.903,31.959,33.299,0.055,25,2402,5439,246,10,16876,3006,330,wood rabbit,0.51,0.48,0.053
76,subject_cat.webp,gauss_quantization_quality.yaml,2,8,30,5,40,5,37.966,20.46,21.798,0.054,34,177,266,10,4,563,149,281,tabby,0.75,0.74,0.008
77,subject_flowers.webp,gauss_quantization_quality.yaml,2,8,30,5,40,5,89.997,29.646,30.985,0.034,79,420,815,21,5,1705,487,883,vase,0.45,0.45,0.005
78,subject_greenroom.tif,gauss_quantization_quality.yaml,2,8,30,5,40,5,890.479,45.323,46.663,0.043,21,2401,5750,182,10,12920,3872,526,desk,0.67,0.71,0.052
79,subject_jellyfish.png,gauss_quantization_quality.yaml,2,8,30,5,40,5,50.721,27.536,28.876,0.019,71,490,929,13,6,1360,578,107,jellyfish,1.0,1.0,0.0
80,subject_partial_dog.webp,gauss_quantization_quality.yaml,2,8,30,5,40,5,23.207,14.664,16.002,0.036,33,172,249,7,3,417,146,253,basenji,0.17,0.2,0.15
81,subject_puppy.png,gauss_quantization_quality.yaml,2,8,30,5,40,5,137.356,33.63,34.97,0.034,77,562,1217,31,8,2271,679,207,golden retriever,0.94,0.95,0.013
82,subject_racecar.tif,gauss_quantization_quality.yaml,2,8,30,5,40,5,397.412,47.346,48.686,0.02,24,2854,5008,87,10,9127,2930,573,go-kart,0.83,0.76,0.086
83,subject_radio.webp,gauss_quantization_quality.yaml,2,8,30,5,40,5,305.18,45.338,46.678,0.086,112,460,1051,66,11,4156,558,754,radio,0.97,0.97,0.005
